trip_log_id,driver_id,vehicle_id,car_name,current_battery_pct,battery_capacity_kwh,current_speed_kmh,ac_status,route_type,outside_temperature_c,elevation_ahead,driver_efficiency_score,distance_to_destination_km,actual_remaining_range_km
RT_LOG_00001,USR_DRV_02,EV_01,MG Windsor,76.7,52.9,23.9,0,City,30,Downhill,0.73,66.2,300.7
RT_LOG_00002,USR_DRV_04,EV_04,MG Windsor,55.5,52.9,37.4,1,City,13.2,Downhill,0.78,131,202.5
RT_LOG_00003,USR_DRV_03,EV_07,MG Windsor,40.6,52.9,23.6,1,City,8.8,Uphill,0.73,127.9,84.3
RT_LOG_00004,USR_DRV_01,EV_08,Mahindra XUV 3XO EV,58.3,39.4,73.5,1,Highway,35.7,Downhill,0.97,57.4,249.5
RT_LOG_00005,USR_DRV_02,EV_01,MG Windsor,69.5,52.9,114.3,0,Highway,37.1,Uphill,0.78,97.2,146.4
RT_LOG_00006,USR_DRV_06,EV_06,Mahindra XUV 3XO EV,28.9,39.4,101.6,0,Highway,27.5,Flat,0.86,40.5,96.1
RT_LOG_00007,USR_DRV_05,EV_09,Tata Punch,29.8,40,107.9,0,Highway,13.5,Flat,0.94,63.2,77.7
RT_LOG_00008,USR_DRV_10,EV_06,Mahindra XUV 3XO EV,29.1,39.4,87.8,1,Highway,10.3,Flat,0.77,86.4,82.2
RT_LOG_00009,USR_DRV_10,EV_07,MG Windsor,90.8,52.9,86.3,0,Highway,23.9,Flat,0.93,129.9,377.1
RT_LOG_00010,USR_DRV_03,EV_07,MG Windsor,63.7,52.9,87.2,1,Highway,24.6,Downhill,0.96,6.7,279.2
RT_LOG_00011,USR_DRV_09,EV_05,Mahindra XUV 3XO EV,79.2,39.4,75,1,Highway,10.9,Flat,0.99,132,293.9
RT_LOG_00012,USR_DRV_09,EV_03,Tata Punch,55.7,40,49.8,1,City,36.1,Downhill,0.88,27.2,173.9
RT_LOG_00013,USR_DRV_09,EV_09,Tata Punch,92.7,40,92,0,Highway,39.4,Uphill,0.77,39.9,145.8
RT_LOG_00014,USR_DRV_02,EV_02,Tata Punch,75.9,40,54.1,0,City,9.8,Uphill,0.98,28.9,186.5
RT_LOG_00015,USR_DRV_10,EV_07,MG Windsor,96.8,52.9,43.5,1,City,41.8,Downhill,0.81,135.4,337.1
RT_LOG_00016,USR_DRV_04,EV_04,MG Windsor,15.8,52.9,38.5,0,City,26.8,Flat,0.72,96.5,52
RT_LOG_00017,USR_DRV_01,EV_06,Mahindra XUV 3XO EV,16.4,39.4,26.1,1,City,12.9,Flat,0.92,132.9,62
RT_LOG_00018,USR_DRV_04,EV_08,Mahindra XUV 3XO EV,82.7,39.4,18.8,1,City,18.1,Uphill,0.84,110.7,220.6
RT_LOG_00019,USR_DRV_02,EV_01,MG Windsor,46.2,52.9,106,0,Highway,14.2,Flat,0.86,25.3,147.9
RT_LOG_00020,USR_DRV_08,EV_04,MG Windsor,88.7,52.9,32.7,0,City,6.9,Downhill,0.95,145.5,403.9
RT_LOG_00021,USR_DRV_04,EV_03,Tata Punch,46.6,40,79.6,1,Highway,38.4,Flat,0.81,147.9,105.9
RT_LOG_00022,USR_DRV_08,EV_05,Mahindra XUV 3XO EV,48.1,39.4,77,1,Highway,13.1,Flat,0.87,83.6,164.6
RT_LOG_00023,USR_DRV_01,EV_01,MG Windsor,62.6,52.9,17.3,0,City,36.5,Flat,0.88,102.9,246.4
RT_LOG_00024,USR_DRV_02,EV_10,Tata Punch,32.2,40,39.8,1,City,29.3,Downhill,0.86,140.5,99.7
RT_LOG_00025,USR_DRV_06,EV_04,MG Windsor,33.9,52.9,41.9,1,City,21.9,Flat,0.7,95.1,98.8
RT_LOG_00026,USR_DRV_02,EV_02,Tata Punch,58.4,40,76,1,Highway,37.6,Flat,0.81,27.9,137.6
RT_LOG_00027,USR_DRV_05,EV_10,Tata Punch,98.5,40,41.7,1,City,39.5,Flat,0.98,24.5,282.3
RT_LOG_00028,USR_DRV_02,EV_09,Tata Punch,24,40,97.2,1,Highway,12.5,Downhill,0.96,78.3,64.3
RT_LOG_00029,USR_DRV_01,EV_02,Tata Punch,67.1,40,72,1,Highway,33.5,Downhill,0.99,28.4,228.1
RT_LOG_00030,USR_DRV_07,EV_09,Tata Punch,10.9,40,52.8,0,City,25.2,Uphill,0.87,26.5,23.5
RT_LOG_00031,USR_DRV_05,EV_06,Mahindra XUV 3XO EV,90.9,39.4,51,0,City,30.2,Downhill,0.73,118.1,367.7
RT_LOG_00032,USR_DRV_07,EV_10,Tata Punch,77.5,40,49.6,0,City,37.6,Flat,0.75,139.1,200.5
RT_LOG_00033,USR_DRV_07,EV_04,MG Windsor,34,52.9,30.3,0,City,36.8,Flat,0.76,138.2,115.1
RT_LOG_00034,USR_DRV_04,EV_04,MG Windsor,12.1,52.9,30.9,1,City,37,Uphill,0.81,78.9,30
RT_LOG_00035,USR_DRV_09,EV_06,Mahindra XUV 3XO EV,94.5,39.4,50.1,1,City,11.6,Uphill,0.71,91.5,200.3
RT_LOG_00036,USR_DRV_06,EV_07,MG Windsor,64.6,52.9,30.4,0,City,14.4,Downhill,0.83,80.4,289.9
RT_LOG_00037,USR_DRV_04,EV_06,Mahindra XUV 3XO EV,48.8,39.4,98,0,Highway,31.6,Uphill,0.85,101.7,119.5
RT_LOG_00038,USR_DRV_05,EV_09,Tata Punch,21.5,40,99.9,1,Highway,30.1,Flat,0.88,48.6,49.1
RT_LOG_00039,USR_DRV_01,EV_05,Mahindra XUV 3XO EV,35.8,39.4,105.4,1,Highway,22.2,Uphill,0.9,79.1,84.2
RT_LOG_00040,USR_DRV_03,EV_02,Tata Punch,35.5,40,74.2,0,Highway,29.9,Flat,0.94,26.4,112.4
