vehicle_id,driver_id,trip_id,manufacturer,car_model,manufacturing_year,vehicle_age_years,vehicle_weight_kg,battery_capacity_kwh,max_range_km,motor_power_kw,max_power_bhp,odometer_km,current_battery_percent,state_of_charge_soc,state_of_health_soh,battery_voltage,battery_temperature_c,battery_cycle_count,charging_status,charging_type,charging_power_kw,charging_duration_min,regenerative_braking_kwh,energy_consumed_kwh,energy_efficiency_wh_per_km,estimated_remaining_range_km,current_speed_kmph,average_speed_kmph,acceleration_rate,harsh_braking_count,sharp_turn_count,idle_time_minutes,brake_usage_frequency,driving_mode,driver_behavior_score,cruise_control_usage,trip_distance_km,trip_duration_min,start_city,destination_city,road_type,traffic_level,elevation_gain_m,avg_gradient_percent,stops_count,route_risk_score,outside_temperature_c,humidity_percent,weather_condition,wind_speed_kmph,road_condition,air_conditioning_usage,heater_usage,season,maintenance_status,maintenance_required,last_service_days,tire_pressure_psi,brake_health_percent,motor_temperature_c,inverter_temperature_c,error_codes_count,downtime_hours,in_garage_or_running,timestamp,hour,day_of_week,weekend_flag,month,quarter,trip_feasible,failure_risk_score,charging_time_remaining_min,anomaly_flag
EV_0004,DRV_001,TRIP_000001,MG,ZS EV,2019,7,1540,50.3,461,129.0,174.33,150065.96,54.68,54.68,73.87,654.04,48.8,2821,0,Slow AC,3.73,809.12,12.13,12.32,183.56,247.19,58.65,48.66,2.68,17,2,29.76,0.29,Normal,54.96,0,67.11,82.75,Hyderabad,Mumbai,City,High,116.13,9.11,32,17.05,39.21,60.62,Sunny,56.93,Good,1,0,Winter,Good,0,16,29.57,60.5,55.27,60.01,0,88.03,Garage,2025-10-09 08:54:58,8,Thursday,0,10,4,1,19.91,366.69,0
EV_0008,DRV_009,TRIP_000002,MG,Windsor EV,2021,5,1800,52.9,449,100.0,134.0,65436.22,93.25,93.25,82.44,784.79,36.06,1889,0,DC Fast,44.47,71.37,11.57,45.15,196.45,383.63,86.97,69.37,3.42,18,8,17.43,0.36,Eco,41.74,0,229.82,198.78,Hyderabad,Kochi,Mixed,Medium,1930.61,2.98,0,0.55,24.55,66.83,Cloudy,42.41,Good,0,0,Monsoon,Good,0,358,26.11,63.0,46.44,40.45,2,172.62,Running,2026-09-09 00:57:58,0,Wednesday,0,9,3,1,17.64,4.82,0
EV_0009,DRV_003,TRIP_000003,MG,ZS EV,2024,2,1540,50.3,461,129.0,174.33,81970.65,94.59,94.59,94.22,656.62,28.46,446,0,Fast AC,7.38,408.94,2.8,1.46,166.22,472.21,68.06,48.28,5.27,11,11,12.63,0.91,Eco,45.69,0,8.8,10.94,Bangalore,Bangalore,Mixed,Medium,403.05,13.95,4,80.81,18.89,50.88,Rainy,52.29,Wet,0,0,Monsoon,Good,0,23,38.39,79.5,41.55,41.15,4,179.22,Running,2025-08-09 12:15:18,12,Saturday,1,8,3,1,10.57,22.12,0
EV_0018,DRV_002,TRIP_000004,Mahindra,BE 6,2021,5,1950,59.0,683,170.0,228.0,204685.68,50.21,50.21,78.26,359.93,21.89,2935,0,Fast AC,21.58,164.04,3.56,1.94,183.79,335.86,57.43,44.54,4.23,2,1,9.27,0.04,Normal,81.81,0,10.55,14.21,Delhi,Pune,City,Medium,362.24,7.34,19,98.57,16.43,45.63,Sunny,40.33,Good,0,0,Winter,Good,0,41,35.92,87.0,32.41,32.48,4,126.71,Running,2026-01-23 02:52:08,2,Friday,0,1,1,1,14.18,81.68,0
EV_0004,DRV_007,TRIP_000005,Mahindra,BE 6,2023,3,1950,59.0,683,170.0,228.0,47443.11,67.73,67.73,87.98,413.25,41.0,1505,0,DC Fast,66.31,53.39,11.7,127.08,227.38,366.2,82.21,80.35,7.08,6,8,14.9,0.82,Normal,54.76,1,558.89,417.34,Pune,Mumbai,Highway,Medium,1582.75,5.09,5,34.92,31.36,51.23,Rainy,53.83,Wet,1,0,Winter,Good,0,332,34.63,85.0,47.26,45.94,10,179.71,Running,2025-10-12 16:30:29,16,Sunday,1,10,4,0,15.75,17.23,0
EV_0006,DRV_009,TRIP_000006,Mahindra,BE 6,2022,4,1950,59.0,683,170.0,228.0,2260.33,66.46,66.46,81.32,656.09,30.87,2671,0,DC Fast,59.98,59.02,14.11,9.75,144.03,567.28,29.64,24.02,2.49,17,7,19.6,0.39,Sport,48.03,0,67.69,169.08,Coimbatore,Kochi,City,Medium,488.11,10.84,25,28.08,23.42,68.22,Sunny,38.73,Good,0,0,Monsoon,Good,0,118,39.31,66.5,49.59,38.31,0,3.09,Running,2025-09-08 05:56:57,5,Monday,0,9,3,1,15.05,19.8,0
EV_0011,DRV_007,TRIP_000007,MG,ZS EV,2021,5,1540,50.3,461,129.0,174.33,213399.35,85.89,85.89,78.17,578.4,47.77,2734,0,Fast AC,9.1,331.65,5.07,13.32,194.21,366.98,74.8,72.05,6.06,15,12,15.54,0.36,Eco,33.82,0,68.61,57.14,Hyderabad,Pune,Mixed,Medium,1253.79,11.97,5,65.0,39.47,68.73,Rainy,47.75,Wet,1,0,Winter,Warning,0,74,30.63,67.5,54.18,57.71,7,7.19,Running,2025-10-02 02:24:35,2,Thursday,0,10,4,1,21.33,46.8,0
EV_0008,DRV_009,TRIP_000008,MG,Windsor EV,2023,3,1800,52.9,449,100.0,134.0,8594.56,74.68,74.68,90.21,685.0,29.98,948,0,Fast AC,16.56,191.67,9.9,3.46,160.86,375.21,43.03,42.72,4.37,4,15,75.66,0.27,Normal,56.39,0,21.52,30.22,Kochi,Kochi,City,High,1022.38,2.6,10,15.64,27.15,84.77,Sunny,32.95,Good,0,0,Monsoon,Good,0,57,29.2,88.0,49.3,41.83,0,110.87,Running,2026-07-06 09:33:58,9,Monday,0,7,3,1,6.95,48.53,0
EV_0006,DRV_007,TRIP_000009,MG,ZS EV,2025,1,1540,50.3,461,129.0,174.33,189703.68,21.38,21.38,89.13,651.83,34.51,2217,1,Slow AC,4.74,636.71,8.18,2.2,162.89,108.91,76.85,68.44,0.84,8,0,14.39,0.5,Sport,81.48,1,13.52,11.85,Kochi,Kochi,Highway,Medium,1464.44,14.1,5,57.55,26.73,78.9,Sunny,38.6,Good,0,0,Monsoon,Good,0,350,39.12,86.0,45.3,49.04,1,181.07,Running,2026-09-03 02:18:46,2,Thursday,0,9,3,1,7.47,500.58,0
EV_0009,DRV_006,TRIP_000010,Mahindra,BE 6,2025,1,1950,59.0,683,170.0,228.0,24516.3,93.66,93.66,97.75,707.23,31.7,63,0,DC Fast,120.25,29.44,4.8,6.31,156.05,737.88,20.32,15.31,6.13,8,5,4.95,0.41,Normal,58.11,0,40.45,158.52,Kochi,Mumbai,City,Low,1877.18,11.32,37,10.31,25.11,70.46,Foggy,30.32,Wet,0,0,Summer,Good,0,321,38.43,86.0,42.54,34.83,1,181.08,Garage,2025-04-25 10:41:09,10,Friday,0,4,2,1,5.31,1.87,0
